کد ملک,تاریخ اپلود,نوع ملک,آدرس,نوع معامله,قیمت واحد,قیمت کل,طبقه,خواب,زیربنا,تلفن,آشپزخانه,سرویس,کفپوش
10274184,1403/05/13,آپارتمان,نارمك میدان هفت حوض,معاوضه,"135,000,000","19,305,000,000",1,3,143,1,MDF,ايراني فرنگي,سراميک
10063502,1403/05/13,آپارتمان,تهران پارس خ 194 غربی,خرید,"85,000,000","6,630,000,000",4,2,78,1,MDF,ايراني فرنگي,سراميک
10354277,1403/05/13,آپارتمان,خواجه نظام خ اجاره دار,خرید,"75,438,000","4,300,000,000",2,2,57,1,MDF,فرنگی,سراميک
10354276,1403/05/13,آپارتمان,بلوار فردوس غرب خ ورزی شمالی,خرید,"180,000,000","18,720,000,000",5,2,104,1,MDF,ايراني فرنگي,سنگ
10354275,1403/05/13,آپارتمان,پلیس كلیم كاشانی,خرید,"71,110,000","3,200,000,000",5,1,45,1,نا مشخص,ايراني فرنگي,نا مشخص
10162156,1403/05/13,آپارتمان,نیاوران سه راه یاسر,خرید,"140,000,000","17,550,000,000",2,3,130,1,هایگلاس,ايراني فرنگي,سنگ
3096311,1403/05/13,مغازه,شریعتی نرسیده به میدان قدس,خرید,"200,000,000","20,000,000,000",2,0,20,1,نا مشخص,نامشخص,سنگ
10265773,1403/05/13,آپارتمان,شهرزیبا میدان الغدیر,خرید,"133,333,000","14,000,000,000",14,2,105,1,MDF,ايراني فرنگي,سراميک
10354272,1403/05/13,مغازه,شریعتی بهار شیراز,خرید,"687,500,000","22,000,000,000",14,0,24,1,نا مشخص,نامشخص,سراميک
10354271,1403/05/13,مستغلات,مجیدیه جنوبی داریوش سعدی,خرید,"122,640,000","13,000,000,000",14,3,230,,فلزي,ايرانی,موکت
10354270,1403/05/13,آپارتمان,دروازه شمیران خ شهید ناطقی,خرید,"71,520,000","3,290,000,000",1,1,46,1,MDF,فرنگی,سراميک
10354269,1403/05/13,آپارتمان,میرداماد خ نیل,خرید,"200,000,000","37,000,000,000",1,3,185,0,MDF,ايرانی,سنگ
10121111,1403/05/13,آپارتمان,میرداماد خ نیل,خرید,"200,000,000","34,000,000,000",1,3,170,0,MDF,ايرانی,سنگ
10184932,1403/05/13,مغازه,ولیعصر نرسیده به پارك ساعی,خرید,"382,142,000","10,700,000,000",1,0,28,,نا مشخص,نامشخص,سنگ
10245071,1403/05/13,کلنگی,شمس اباد خ استاد حسن بنا,خرید,"300,000,000","300,000,000,000",1,0,0,0,نا مشخص,نامشخص,نا مشخص
10205696,1403/05/13,اداری,جردن نرسیده به خ شهید طاهری,خرید,"200,000,000","120,000,000,000",1,10,600,5,آبدارخانه,فرنگی,سراميک
10204539,1403/05/13,اداری,اقدسیه خ فیروزبخش,خرید,"200,000,000","20,200,000,000",4,0,101,2,آبدارخانه,ايرانی,سراميک برنز
10354267,1403/05/13,آپارتمان,دروازه شمیران خ نصرآبادی,خرید,"90,420,000","8,500,000,000",2,2,94,1,MDF,ايراني فرنگي,سراميک
3993836,1403/05/13,تجاری,شریعتی نرسیده به حسینیه ارشاد,خرید,"350,000,000","88,900,000,000",2,0,254,1,آبدارخانه,ايراني فرنگي,سنگ
3314923,1403/05/13,مغازه,شریعتی نرسیده به میرداماد,خرید,"500,000,000","24,750,000,000",2,0,44,2,نا مشخص,ايرانی,سنگ
10206180,1403/05/13,آپارتمان,سعادت آباد شهرك مخابرات خ پیوند,خرید,"158,139,000","34,000,000,000",2,4,215,2,MDF,ايراني فرنگي,سراميک
3528426,1403/05/13,مغازه,طالقانی خ بهار جنوبی,خرید,"461,538,000","6,000,000,000",2,0,13,,نا مشخص,نامشخص,نا مشخص
10163760,1403/05/13,مغازه,شریعتی نرسیده به پل صدر,خرید,"747,126,000","65,000,000,000",2,0,65,1,نا مشخص,ايرانی,سراميک
10119486,1403/05/13,اداری,ولیعصر روبروی پارك ساعی,خرید,"273,092,000","68,000,000,000",2,6,249,1,آبدارخانه,ايرانی,سنگ
3587914,1403/05/13,اداری,فرشته خ شهید فیاضى,خرید,"420,000,000","56,280,000,000",1,3,134,0,آبدارخانه,فرنگی,پارکت سنگ
2824105,1403/05/13,اداری,فرشته خ شهید فیاضى,خرید,"420,000,000","70,560,000,000",1,4,168,0,آبدارخانه,فرنگی,پارکت سنگ
10354260,1403/05/13,آپارتمان,شمس آباد بلوار بیژن,خرید,"125,000,000","17,500,000,000",4,3,140,1,MDF,ايراني فرنگي,سراميک
10248317,1403/05/13,مستغلات,دزاشیب خ كریمی,خرید,"157,894,000","180,000,000,000",4,20,1140,10,MDF,ايراني فرنگي,سراميک
10002989,1403/05/13,آپارتمان,دربند خ گلابدره,خرید,"130,000,000","23,400,000,000",3,3,180,0,MDF,ايراني فرنگي,سنگ
3671686,1403/05/13,تجاری,بزرگراه رسالت شرق بعد از صیاد شیرازی,خرید,"192,307,000","25,000,000,000",3,0,130,1,نا مشخص,نامشخص,سراميک
10132963,1403/05/13,اداری,ولیعصر نرسیده به چهاردهم,خرید,"238,317,000","51,000,000,000",1,8,214,1,آبدارخانه,ايراني فرنگي,سنگ
10354258,1403/05/13,آپارتمان,شریعتی بالاتراز بیمارستان ایرانمهر,خرید,"153,333,000","23,000,000,000",3,3,150,1,MDF,ايراني فرنگي,سنگ
3470283,1403/05/13,اداری,سهروردی شمالی خ اندیشه,خرید,"102,941,000","7,000,000,000",5,4,68,2,آبدارخانه,ايرانی,سراميک
3882801,1403/05/13,تجاری,شریعتی تقاطع خ پلیس,خرید,"150,000,000","15,600,000,000",1,0,104,3,آبدارخانه,ايرانی,سراميک
2725616,1403/05/13,مغازه,شریعتی بالاتر از حسینیه ارشاد,خرید,"377,142,000","13,200,000,000",1,0,28,1,آبدارخانه,نامشخص,سراميک
10201130,1403/05/13,مغازه,میرداماد نرسیده به میدان محسنی,خرید,"857,142,000","18,000,000,000",1,0,21,1,نا مشخص,ايرانی,سراميک
3893533,1403/05/13,آپارتمان,شهرك غرب خ سپهر,خرید,"320,000,000","56,000,000,000",5,3,175,1,چوبي,ايراني فرنگي,سنگ
10187607,1403/05/13,آپارتمان,شهرك غرب خ سپهر,خرید,"320,000,000","55,040,000,000",5,3,172,1,چوبي,ايراني فرنگي,سنگ
10354256,1403/05/13,آپارتمان,تهرانپارس بلوار پروین خ شفیعی مكرم بین 135 و 137,خرید,"59,000,000","2,773,000,000",3,1,47,1,MDF,ايرانی,پارکت
10354255,1403/05/13,آپارتمان,انتهای همت غرب دریاچه,خرید,"97,014,000","13,000,000,000",13,3,134,1,MDF,ايراني فرنگي,سنگ
3469919,1403/05/13,آپارتمان,ولنجك خ 26 خ البرز,خرید,"165,517,000","24,000,000,000",1,3,145,1,MDF,ايراني فرنگي,سراميک
10275672,1403/05/13,آپارتمان,اشرفی اصفهانی خ باغ فیض,خرید,"125,860,000","7,300,000,000",2,1,58,1,MDF,ايراني فرنگي,سنگ
10350403,1403/05/13,آپارتمان,سعادت آباد بلوار بهزاد,خرید,"183,330,000","33,000,000,000",11,3,180,1,MDF,ايراني فرنگي,سراميک
3771454,1403/05/13,تجاری,مطهری بالاتر از چهارراه مفتح,خرید,"276,752,000","75,000,000,000",11,0,271,1,آبدارخانه,ايرانی,سراميک
3769092,1403/05/13,تجاری,فاطمی نرسیده به ك پنجم,خرید,"1,250,000,000","300,000,000,000",11,0,240,1,نا مشخص,نامشخص,موزائيک
3994804,1403/05/13,مستغلات,فرحزاد خ ایثارگران شمالی,خرید,"200,000,000","20,000,000,000",11,2,70,1,MDF,ايراني فرنگي,سراميک
10275673,1403/05/13,آپارتمان,پونك سردار جنگل,خرید,"122,050,000","8,300,000,000",1,2,68,1,MDF,ايراني فرنگي,سنگ
3298402,1403/05/13,مغازه,اشرفی اصفهانی نرسیده به مرزداران,خرید,"250,000,000","8,500,000,000",1,0,34,1,نا مشخص,نامشخص,سنگ
10255679,1403/05/13,آپارتمان,پلیس نرسیده به خ ناجا,خرید,"80,000,000","4,000,000,000",3,1,50,1,MDF,ايرانی,سراميک
10354252,1403/05/13,آپارتمان,دولت بلوار كاوه خ رزم جوین,خرید,"145,000,000","12,325,000,000",5,2,85,1,MDF,فرنگی,سنگ
10271741,1403/05/13,مستغلات,بزرگراه رسالت خ كرمان,خرید,"133,330,000","12,000,000,000",5,2,170,2,فلزي,ايرانی,سراميک
3959830,1403/05/13,اداری,قائم مقام فراهانی خ آزادگان,خرید,"94,339,000","10,000,000,000",3,2,106,2,آبدارخانه,ايرانی,سراميک
10336241,1403/05/13,آپارتمان,جمالزاده شمالی خ زند,خرید,"82,352,000","7,000,000,000",3,2,85,1,MDF,ايرانی,سراميک
10349762,1403/05/13,آپارتمان,سعادت آباد خ صرافهای شمالی,خرید,"196,478,000","27,900,000,000",9,3,142,1,MDF,ايراني فرنگي,سنگ
10297617,1403/05/13,آپارتمان,گیشا نرسیده به خ 19,خرید,"109,523,000","11,500,000,000",9,2,105,1,MDF,ايرانی,سراميک
3194908,1403/05/13,مغازه,میرداماد میدان محسنی,خرید,"147,222,000","5,300,000,000",1,0,24,1,نا مشخص,نامشخص,سنگ
